"","IncomeRange","OccGroup","N","BorrowerAPR","sd","se","ci"
"102","$25-50k","Accountant",730,0.231766657534247,0.0824378889114805,0.00305116315754294,0.00599011505004846
"103","$25-50k","Admin Assistant",2037,0.246899484536082,0.0794074668060715,0.00175940502179303,0.00345042166851324
"104","$25-50k","Analyst",640,0.222466515625,0.0816398903955816,0.00322710001970678,0.00633700267860191
"105","$25-50k","Architect",42,0.206347857142857,0.0815706421224682,0.0125866233380558,0.0254192015107172
"106","$25-50k","Attorney",55,0.228546727272727,0.0843162256924302,0.0113691975530512,0.0227938686974308
"107","$25-50k","Biologist",43,0.198703720930233,0.0908606523362444,0.0138561195807651,0.0279627813980065
"108","$25-50k","Bus Driver",139,0.253384316546763,0.0706621872833497,0.005993488500071,0.0118509460402923
"109","$25-50k","Car Dealer",44,0.234322272727273,0.0792294302514564,0.0119442860226234,0.0240879484471705
"110","$25-50k","Chemist",36,0.2127375,0.0780062639746688,0.0130010439957781,0.0263935224913607
"111","$25-50k","Civil Service",317,0.236275362776025,0.0783790352540279,0.00440220519996081,0.00866133661268766
"112","$25-50k","Clergy",80,0.229160375,0.091361395725829,0.0102145145681106,0.0203314826694945
"113","$25-50k","Clerical",1900,0.240004294736842,0.0764008577205069,0.00175275588422905,0.00343752935924688
"114","$25-50k","Computer Programmer",450,0.211096155555556,0.0849105291784565,0.00400272073174832,0.00786639282163147
"115","$25-50k","Construction",437,0.225738489702517,0.0797021997958709,0.00381267327018976,0.00749350373531868
"117","$25-50k","Doctor",39,0.177360512820513,0.0755128812277021,0.0120917382594948,0.0244784443640723
"118","$25-50k","Engineer",230,0.228349739130435,0.0785872261413737,0.00518188823759607,0.0102102748680943
"119","$25-50k","Executive",236,0.231866822033898,0.0808304190558924,0.00526161211550513,0.0103659549725084
"120","$25-50k","Fireman",70,0.219293714285714,0.0968384109497853,0.0115744039249664,0.023090304042711
"121","$25-50k","Flight Attendant",51,0.234704705882353,0.0745477657707578,0.0104387751717577,0.0209668969904051
"122","$25-50k","Food Service",531,0.242057156308851,0.0759837433756054,0.00329741360077215,0.00647760425762974
"123","$25-50k","Food Service Management",511,0.234265596868885,0.0792335705044784,0.00350508679689859,0.00688618594204517
"124","$25-50k","Homemaker",28,0.264989285714286,0.0837082015950989,0.0158193631512209,0.0324586520649587
"125","$25-50k","Investor",41,0.240106097560976,0.093301358829281,0.0145712241976875,0.0294495426325815
"127","$25-50k","Laborer",832,0.24497625,0.075355855115848,0.00261249422621755,0.0051278632188702
"128","$25-50k","Landscaping",106,0.225579056603774,0.0734168316309045,0.00713087306221611,0.0141392040232558
"129","$25-50k","Medical Technician",497,0.237087565392354,0.0775434313860122,0.00347829827004048,0.00683401533763103
"130","$25-50k","Military",394,0.240219340101523,0.0917913167079168,0.00462437972873836,0.00909161662910767
"131","$25-50k","Nursing",763,0.237534534731324,0.075274307240853,0.00272511289234099,0.00534962025260782
"132","$25-50k","Other",9757,0.234534492159475,0.0797780044130666,0.000807653382129228,0.00158316795410235
"133","$25-50k","Pharmacist",10,0.233361,0.0891156569919737,0.0281808451276946,0.0637495006593213
"134","$25-50k","Pilot",26,0.219583461538462,0.0826460375307762,0.0162082214650211,0.0333814569787745
"135","$25-50k","Police Officer",368,0.239845869565217,0.0757677623840145,0.00394966764447962,0.00776681977777007
"136","$25-50k","Postal Service",99,0.236874949494949,0.0827132173922341,0.00831299113009512,0.0164968603472915
"137","$25-50k","Principal",22,0.197379545454545,0.0814298995325353,0.0173609129131019,0.0361039948511983
"138","$25-50k","Professional",2403,0.236598231377445,0.0824324465347736,0.00168159460043482,0.00329752645845112
"139","$25-50k","Professor",82,0.219161219512195,0.092765949856698,0.0102442854104579,0.0203829145747771
"140","$25-50k","Psychologist",19,0.21945,0.0635407999285149,0.0145772592463228,0.030625685236907
"141","$25-50k","Realtor",151,0.221124105960265,0.0854421529010244,0.00695318379234144,0.0137388329219914
"142","$25-50k","Religious",49,0.242276734693878,0.0803083457262215,0.0114726208180316,0.0230672501777778
"143","$25-50k","Retail Management",967,0.237672761116856,0.0821041203975822,0.00264029051593619,0.00518136625264547
"144","$25-50k","Sales",1983,0.236491033787191,0.0807602473807714,0.00181357818638342,0.00355671991795979
"145","$25-50k","Skilled Labor",1201,0.232780599500416,0.0800288821424718,0.00230927283575438,0.00453066130289818
"146","$25-50k","Social Worker",351,0.230579914529915,0.0795083354210189,0.00424384098769446,0.00834663793231577
"147","$25-50k","Student",164,0.209736585365854,0.0813470415255273,0.00635213674677512,0.0125430856159273
"148","$25-50k","Teacher",1278,0.228629076682316,0.082909724273452,0.00231920983439331,0.00454988013990049
"149","$25-50k","Teacher's Aide",111,0.257916846846847,0.0723532512177955,0.00686746669120598,0.0136097070648325
"150","$25-50k","Tradesman",450,0.231653822222222,0.0781111263875784,0.00368219381031841,0.00723647361345965
"151","$25-50k","Truck Driver",604,0.233495231788079,0.0750283391906289,0.00305285982570508,0.00599552934259531
"152","$25-50k","Waiter/Waitress",207,0.242763961352657,0.0763346141042522,0.00530562244407369,0.0104602822589473
"153","$50-75k","None provided",334,0.193980928143713,0.0655252137018071,0.00358538017370856,0.0070528495447163
"154","$50-75k","Accountant",1081,0.211624653098982,0.0789689799957513,0.00240183783347774,0.00471279721798911
"155","$50-75k","Admin Assistant",922,0.233129436008677,0.0764534507820895,0.00251786030956678,0.00494140930488226
"156","$50-75k","Analyst",1225,0.204567502040816,0.0786769553910468,0.00224791301117277,0.00441018952822982
"157","$50-75k","Architect",73,0.200904657534247,0.0724441453635181,0.0084789458809894,0.0169024696974501
"158","$50-75k","Attorney",163,0.214106503067485,0.0801063883068793,0.00627441657521563,0.0123901894585402
"159","$50-75k","Biologist",41,0.231756829268293,0.0879582003692386,0.0137367630406158,0.0277630337238573
"160","$50-75k","Bus Driver",91,0.225498131868132,0.0839295137986114,0.00879820366685274,0.0174791672288629
"161","$50-75k","Car Dealer",47,0.225966808510638,0.0822506026436594,0.0119974834553141,0.0241496816453104
"162","$50-75k","Chemist",50,0.2251904,0.0884085686575777,0.0125028596825539,0.0251254372113619
"163","$50-75k","Civil Service",515,0.230401184466019,0.0814553842690299,0.00358935308729477,0.00705160718324964
"164","$50-75k","Clergy",57,0.224115614035088,0.0835925495872164,0.0110721036737832,0.0221800889226277
"165","$50-75k","Clerical",488,0.221355327868852,0.0729910228981043,0.00330414835624321,0.00649214631896792
"166","$50-75k","Computer Programmer",1075,0.197665497674419,0.0810626018702957,0.00247238617853224,0.00485125497340965
"167","$50-75k","Construction",599,0.218287813021703,0.0766741307840966,0.00313282005361119,0.00615266716389535
"169","$50-75k","Doctor",65,0.190567384615385,0.0786966231064928,0.00976111476008081,0.0195000684154116
"170","$50-75k","Engineer",836,0.20209783492823,0.0816354878463138,0.00282342238540292,0.00554183909618992
"171","$50-75k","Executive",690,0.218460333333333,0.080887244668776,0.00307932477778989,0.00604598630655752
"172","$50-75k","Fireman",142,0.21560514084507,0.0830914349285813,0.00697287832261878,0.0137849027224002
"173","$50-75k","Flight Attendant",44,0.228866363636364,0.0753967653087815,0.0113664900425324,0.0229227118013758
"174","$50-75k","Food Service",137,0.22090897810219,0.0788304118894093,0.00673493660586833,0.0133187464643761
"175","$50-75k","Food Service Management",410,0.212402170731707,0.0734916577300587,0.00362949427234103,0.00713479113028208
"177","$50-75k","Investor",48,0.232859791666667,0.0843565488759085,0.0121758190503534,0.0244945884714386
"179","$50-75k","Laborer",353,0.228871614730878,0.0711483004807964,0.00378684193557886,0.00744768136307771
"180","$50-75k","Landscaping",53,0.236239622641509,0.0747851288426296,0.010272527472799,0.0206133344332005
"181","$50-75k","Medical Technician",338,0.215203106508876,0.0777106133015164,0.0042269001258206,0.00831443210396086
"182","$50-75k","Military",625,0.229817024,0.0838421810172648,0.00335368724069059,0.00658588032143962
"183","$50-75k","Nursing",1180,0.221112788135593,0.0747370065123815,0.00217567837510311,0.00426863337058123
"184","$50-75k","Other",7481,0.218575968453415,0.0780919823017317,0.000902872904304861,0.00176988476544849
"186","$50-75k","Pilot",29,0.189483793103448,0.0877763045805234,0.0162996505630122,0.0333883206220411
"187","$50-75k","Police Officer",517,0.222228375241779,0.0790567990353242,0.00347691404607231,0.00683064808119623
"188","$50-75k","Postal Service",418,0.226843851674641,0.0783321357329566,0.00383134999646624,0.00753116649582574
"189","$50-75k","Principal",59,0.227519152542373,0.0749205859166693,0.00975382949053642,0.0195244110285782
"190","$50-75k","Professional",3963,0.219473974261923,0.0796735842930409,0.00126561705660292,0.00248132187257222
"191","$50-75k","Professor",184,0.201941086956522,0.0855169585834848,0.00630439382898316,0.0124386441422953
"192","$50-75k","Psychologist",53,0.207216226415094,0.0843746076281797,0.0115897436867561,0.0232565221405131
"193","$50-75k","Realtor",117,0.219885811965812,0.0805502370578001,0.00744687205032507,0.0147494684198597
"194","$50-75k","Religious",34,0.212891470588235,0.0899640477056808,0.0154287068952174,0.0313899401981819
"195","$50-75k","Retail Management",839,0.220038033373063,0.073437076270692,0.00253532942973246,0.00497634176696718
"196","$50-75k","Sales",1498,0.225074846461949,0.080437424409087,0.00207827134403033,0.00407663300586958
"197","$50-75k","Skilled Labor",894,0.217662751677852,0.0739963397647398,0.00247480781315577,0.00485711732401151
